epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.659,1.51853,3.44174,1.24762,0.01455,0.68223,0.07607,0.03941,1.27497,3.42195,1.10671,0.000409091,0.000409091,0.000409091
2,222.947,1.22947,2.07489,1.09218,0.85279,0.0728,0.26588,0.14952,1.31975,2.792,1.18051,0.000809408,0.000809408,0.000809408
3,333.449,1.15765,1.87211,1.07137,0.55725,0.33227,0.29368,0.17814,1.26135,2.27117,1.2067,0.00119322,0.00119322,0.00119322
4,441.756,1.12381,1.74657,1.05545,0.43887,0.40273,0.28022,0.15917,1.34063,2.13354,1.24919,0.00117575,0.00117575,0.00117575
5,549.721,1.04921,1.61585,1.02769,0.59014,0.41202,0.3464,0.20238,1.27076,1.97802,1.2165,0.001151,0.001151,0.001151
6,657.497,1.02397,1.52432,1.0189,0.5934,0.44263,0.35262,0.20393,1.2804,2.01514,1.2292,0.00112625,0.00112625,0.00112625
7,765.36,0.99389,1.45315,1.00685,0.62137,0.38738,0.3718,0.2204,1.28888,1.90476,1.2168,0.0011015,0.0011015,0.0011015
8,873.242,0.95423,1.3426,0.98786,0.383,0.44565,0.37092,0.20073,1.29228,1.85003,1.25024,0.00107675,0.00107675,0.00107675
9,981.046,0.92582,1.26576,0.97807,0.42053,0.42117,0.39499,0.20944,1.28429,2.14798,1.22479,0.001052,0.001052,0.001052
10,1092.15,0.90456,1.18476,0.96517,0.35755,0.42239,0.37161,0.20749,1.27079,1.96229,1.22284,0.00102725,0.00102725,0.00102725
11,1199.92,0.87824,1.10247,0.95936,0.3909,0.38695,0.36471,0.20128,1.27981,2.14589,1.24127,0.0010025,0.0010025,0.0010025
12,1307.52,0.8438,1.05616,0.95036,0.29138,0.53554,0.38672,0.2215,1.25662,2.003,1.22438,0.00097775,0.00097775,0.00097775
13,1415.38,0.85128,1.04522,0.94477,0.41706,0.42201,0.38802,0.20273,1.31811,2.22464,1.29672,0.000953,0.000953,0.000953
14,1523.1,0.84513,0.97177,0.94314,0.41897,0.36771,0.38289,0.21564,1.30172,2.12965,1.24286,0.00092825,0.00092825,0.00092825
15,1630.88,0.81793,0.95054,0.93362,0.46572,0.44638,0.40665,0.21905,1.25307,1.94515,1.21023,0.0009035,0.0009035,0.0009035
16,1738.84,0.80159,0.90621,0.924,0.42723,0.43635,0.42756,0.22506,1.27331,2.08774,1.23309,0.00087875,0.00087875,0.00087875
17,1846.53,0.77937,0.87246,0.92096,0.38047,0.5142,0.3887,0.22278,1.24493,1.96045,1.23075,0.000854,0.000854,0.000854
18,1953.96,0.75972,0.85672,0.91574,0.36165,0.52067,0.41023,0.23497,1.24783,2.07476,1.22522,0.00082925,0.00082925,0.00082925
19,2061.42,0.74094,0.81146,0.90539,0.33324,0.42472,0.37868,0.21366,1.26895,2.10474,1.23438,0.0008045,0.0008045,0.0008045
20,2169.07,0.7618,0.83431,0.91195,0.4215,0.37251,0.38838,0.22349,1.21469,2.16024,1.20104,0.00077975,0.00077975,0.00077975
21,2276.7,0.73006,0.79029,0.9047,0.66855,0.40463,0.40846,0.23944,1.21594,1.85234,1.18257,0.000755,0.000755,0.000755
22,2384.44,0.70441,0.74692,0.89704,0.38493,0.45519,0.39235,0.21864,1.27416,2.04965,1.24601,0.00073025,0.00073025,0.00073025
23,2492.12,0.70613,0.74411,0.89499,0.37733,0.4329,0.41418,0.23719,1.2637,2.11032,1.2454,0.0007055,0.0007055,0.0007055
24,2599.54,0.70781,0.7442,0.90093,0.64403,0.38577,0.37375,0.20926,1.2706,1.94706,1.22666,0.00068075,0.00068075,0.00068075
25,2707.36,0.67425,0.70848,0.89046,0.3852,0.48299,0.39272,0.20533,1.29726,1.99007,1.25814,0.000656,0.000656,0.000656
26,2817.48,0.68574,0.70785,0.88844,0.32787,0.45947,0.39554,0.23794,1.22119,2.01552,1.21183,0.00063125,0.00063125,0.00063125
27,2924.78,0.66849,0.688,0.89185,0.40641,0.47281,0.40399,0.2244,1.28455,2.01599,1.26271,0.0006065,0.0006065,0.0006065
28,3032.19,0.68089,0.69304,0.88845,0.44131,0.43345,0.4116,0.22912,1.26651,2.15403,1.21714,0.00058175,0.00058175,0.00058175
29,3139.89,0.66576,0.68015,0.88164,0.71305,0.37793,0.41116,0.23351,1.27369,2.23981,1.23152,0.000557,0.000557,0.000557
30,3247.1,0.64376,0.65452,0.88191,0.45781,0.47046,0.42627,0.24892,1.23049,1.94913,1.21755,0.00053225,0.00053225,0.00053225
31,3354.42,0.63991,0.63973,0.88185,0.32472,0.45754,0.40688,0.23945,1.22942,2.0731,1.22445,0.0005075,0.0005075,0.0005075
32,3461.64,0.63333,0.63384,0.87265,0.38058,0.43977,0.42667,0.25022,1.25178,2.17346,1.22252,0.00048275,0.00048275,0.00048275
33,3569.2,0.61614,0.61781,0.87198,0.32322,0.46976,0.40151,0.23593,1.24648,2.01785,1.21247,0.000458,0.000458,0.000458
34,3676.31,0.60802,0.61151,0.86869,0.46755,0.47839,0.41834,0.24044,1.25211,1.85927,1.21264,0.00043325,0.00043325,0.00043325
35,3783.49,0.60267,0.60446,0.8653,0.45814,0.51186,0.46118,0.2691,1.21574,1.83937,1.21924,0.0004085,0.0004085,0.0004085
36,3890.35,0.59788,0.5921,0.8681,0.48284,0.44395,0.42269,0.24972,1.2672,2.27099,1.23297,0.00038375,0.00038375,0.00038375
37,3997.22,0.58376,0.57383,0.86443,0.42148,0.49591,0.42891,0.2454,1.25066,2.11708,1.21985,0.000359,0.000359,0.000359
38,4104.91,0.58254,0.58245,0.85814,0.63941,0.3951,0.40101,0.23376,1.22784,1.9225,1.21292,0.00033425,0.00033425,0.00033425
39,4212.29,0.55984,0.55592,0.85606,0.39641,0.49151,0.42211,0.24726,1.24946,1.96505,1.2255,0.0003095,0.0003095,0.0003095
40,4319.07,0.56243,0.55646,0.85637,0.50357,0.45513,0.41728,0.23469,1.24458,2.12442,1.22081,0.00028475,0.00028475,0.00028475
41,4422.58,0.95099,1.18125,1.02937,0.41221,0.39045,0.39766,0.22439,1.23269,1.81424,1.20637,0.00026,0.00026,0.00026
42,4525.8,0.91933,1.07025,0.99934,0.4992,0.50089,0.42188,0.2367,1.24961,1.86999,1.19536,0.00023525,0.00023525,0.00023525
43,4629.12,0.89065,1.00294,0.9909,0.35192,0.49365,0.38677,0.22238,1.21922,1.91269,1.1861,0.0002105,0.0002105,0.0002105
44,4732.48,0.87964,0.97316,0.97885,0.55711,0.47248,0.43949,0.24813,1.21088,1.83166,1.19065,0.00018575,0.00018575,0.00018575
45,4836.54,0.86814,0.93164,0.97095,0.47696,0.4041,0.42473,0.24078,1.23435,2.01917,1.1899,0.000161,0.000161,0.000161
46,4940.54,0.84798,0.89249,0.96485,0.39949,0.43051,0.41889,0.22932,1.25433,2.15531,1.20307,0.00013625,0.00013625,0.00013625
47,5044.19,0.83145,0.85454,0.95391,0.49531,0.43068,0.43517,0.24691,1.25002,1.89202,1.20268,0.0001115,0.0001115,0.0001115
48,5147.64,0.82509,0.83536,0.9583,0.44655,0.46667,0.42738,0.24507,1.24596,1.98171,1.20277,8.675e-05,8.675e-05,8.675e-05
49,5251.3,0.81533,0.82132,0.94978,0.40868,0.48737,0.42567,0.24256,1.2574,2.01942,1.21228,6.2e-05,6.2e-05,6.2e-05
50,5354.79,0.81142,0.80697,0.94897,0.44067,0.45022,0.42988,0.24106,1.24299,2.05598,1.20255,3.725e-05,3.725e-05,3.725e-05
